Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Afghanistan,2015,Developing,65.0,263,62,0.01,71.27962362,65.0,1154,19.1,83,6,8.16,65,0.1,584.25921,33736494.0,17.2,17.3,0.479,10.1
Afghanistan,2014,Developing,59.9,271,64,0.01,73.52358168,62.0,492,18.6,86,58,8.18,62,0.1,612.696514,327582.0,17.5,17.5,0.476,10.0
Afghanistan,2013,Developing,59.9,268,66,0.01,73.21924272,64.0,430,18.1,89,62,8.13,64,0.1,631.744976,31731688.0,17.7,17.7,0.47,9.9
Afghanistan,2012,Developing,59.5,272,69,0.01,78.1842153,67.0,2787,17.6,93,67,8.52,67,0.1,669.959,3696958.0,17.9,18.0,0.463,9.8
Afghanistan,2011,Developing,59.2,275,71,0.01,7.097108703,68.0,3013,17.2,97,68,7.87,68,0.1,63.537231,2978599.0,18.2,18.2,0.454,9.5
Afghanistan,2010,Developing,58.8,279,74,0.01,79.67936736,66.0,1989,16.7,102,66,9.2,66,0.1,553.32894,2883167.0,18.4,18.4,0.448,9.2
Afghanistan,2009,Developing,58.6,281,77,0.01,56.76221682,63.0,2861,16.2,106,63,9.42,63,0.1,445.8932979,284331.0,18.6,18.7,0.434,8.9
Afghanistan,2008,Developing,58.1,287,80,0.03,25.87392536,64.0,1599,15.7,110,64,8.33,64,0.1,373.3611163,2729431.0,18.8,18.9,0.433,8.7
Afghanistan,2007,Developing,57.5,295,82,0.02,10.91015598,63.0,1141,15.2,113,63,6.73,63,0.1,369.835796,26616792.0,19.0,19.1,0.415,8.4
Afghanistan,2006,Developing,57.3,295,84,0.03,17.17151751,64.0,1990,14.7,116,58,7.43,58,0.1,272.56377,2589345.0,19.2,19.3,0.405,8.1
Afghanistan,2005,Developing,57.3,291,85,0.02,1.388647732,66.0,1296,14.2,118,58,8.7,58,0.1,25.2941299,257798.0,19.3,19.5,0.396,7.9
Afghanistan,2004,Developing,57.0,293,87,0.02,15.29606643,67.0,466,13.8,120,5,8.79,5,0.1,219.1413528,24118979.0,19.5,19.7,0.381,6.8
Afghanistan,2003,Developing,56.7,295,87,0.01,11.08905273,65.0,798,13.4,122,41,8.82,41,0.1,198.7285436,2364851.0,19.7,19.9,0.373,6.5
Afghanistan,2002,Developing,56.2,3,88,0.01,16.88735091,64.0,2486,13.0,122,36,7.76,36,0.1,187.84595,21979923.0,19.9,2.2,0.341,6.2
Afghanistan,2001,Developing,55.3,316,88,0.01,10.5747282,63.0,8762,12.6,122,35,7.8,33,0.1,117.49698,2966463.0,2.1,2.4,0.34,5.9
Afghanistan,2000,Developing,54.8,321,88,0.01,10.42496,62.0,6532,12.2,122,24,8.2,24,0.1,114.56,293756.0,2.3,2.5,0.338,5.5
Albania,2015,Developing,77.8,74,0,4.6,364.9752287,99.0,0,58.0,0,99,6.0,99,0.1,3954.22783,28873.0,1.2,1.3,0.762,14.2
Albania,2014,Developing,77.5,8,0,4.51,428.7490668,98.0,0,57.2,1,98,5.88,98,0.1,4575.763787,288914.0,1.2,1.3,0.761,14.2
Albania,2013,Developing,77.2,84,0,4.76,430.8769785,99.0,0,56.5,1,99,5.66,99,0.1,4414.72314,289592.0,1.3,1.4,0.759,14.2
Albania,2012,Developing,76.9,86,0,5.14,412.4433563,99.0,9,55.8,1,99,5.59,99,0.1,4247.61438,2941.0,1.3,1.4,0.752,14.2
Albania,2011,Developing,76.6,88,0,5.37,437.0621,99.0,28,55.1,1,99,5.71,99,0.1,4437.17868,295195.0,1.4,1.5,0.738,13.3
Albania,2010,Developing,76.2,91,1,5.28,41.82275719,99.0,10,54.3,1,99,5.34,99,0.1,494.358832,291321.0,1.4,1.5,0.725,12.5
Albania,2009,Developing,76.1,91,1,5.79,348.0559517,98.0,0,53.5,1,98,5.79,98,0.1,4114.136545,2927519.0,1.5,1.6,0.721,12.2
Albania,2008,Developing,75.3,1,1,5.61,36.62206845,99.0,0,52.6,1,99,5.87,99,0.1,437.539647,2947314.0,1.6,1.6,0.713,12.0
Albania,2007,Developing,75.9,9,1,5.58,32.24655228,98.0,22,51.7,1,99,6.1,98,0.1,363.13685,29717.0,1.6,1.7,0.703,11.6
Albania,2006,Developing,74.2,99,1,5.31,3.3021542,98.0,68,5.8,1,97,5.86,97,0.1,35.1293,2992547.0,1.7,1.8,0.696,11.4
Albania,2005,Developing,73.5,15,1,5.16,26.99312143,98.0,6,49.9,1,97,6.12,98,0.1,279.142931,311487.0,1.8,1.8,0.685,10.8
Albania,2004,Developing,73.0,17,1,4.54,221.8428,99.0,7,48.9,1,98,6.38,97,0.1,2416.588235,326939.0,1.8,1.9,0.681,10.9
Albania,2003,Developing,72.8,18,1,4.29,14.71928882,97.0,8,47.9,1,97,6.27,97,0.1,189.681557,339616.0,1.9,2.0,0.674,10.7
Albania,2002,Developing,73.3,15,1,3.73,104.5169157,96.0,16,46.9,1,98,6.3,98,0.1,1453.642777,3511.0,2.0,2.1,0.67,10.7
Albania,2001,Developing,73.6,14,1,4.25,96.20557078,96.0,18,46.0,1,97,6.0,97,0.1,1326.97339,36173.0,2.1,2.1,0.662,10.6
Albania,2000,Developing,72.6,11,1,3.66,91.71154052,96.0,662,45.0,1,97,6.26,97,0.1,1175.788981,38927.0,2.1,2.2,0.656,10.7
Algeria,2015,Developing,75.6,19,21,,0.0,95.0,63,59.5,24,95,,95,0.1,4132.76292,39871528.0,6.0,5.8,0.743,14.4
Algeria,2014,Developing,75.4,11,21,0.01,54.2373183,95.0,0,58.4,24,95,7.21,95,0.1,547.8517,39113313.0,6.0,5.8,0.741,14.4
Algeria,2013,Developing,75.3,112,21,0.53,544.4507432,95.0,25,57.2,24,95,7.12,95,0.1,5471.866766,38338562.0,5.9,5.8,0.737,14.4
Algeria,2012,Developing,75.1,113,21,0.66,555.9260834,95.0,18,56.1,24,95,6.14,95,0.1,5564.82566,37565847.0,5.9,5.8,0.732,14.4
Algeria,2011,Developing,74.9,116,21,0.56,509.0020405,95.0,112,55.0,24,95,5.29,95,0.1,5432.2523,36819558.0,5.9,5.8,0.724,14.0
Algeria,2010,Developing,74.7,119,21,0.45,430.7175861,95.0,103,53.9,24,95,5.12,95,0.1,4463.394675,36117637.0,5.9,5.8,0.714,13.6
Algeria,2009,Developing,74.4,123,20,0.5,352.0636419,94.0,107,52.8,23,94,5.36,95,0.1,3868.83123,3546576.0,6.0,5.9,0.705,13.1
Algeria,2008,Developing,74.1,126,20,0.46,43.08717334,91.0,217,51.8,23,92,4.2,93,0.1,495.254866,3486715.0,6.0,5.9,0.697,12.6
Algeria,2007,Developing,73.8,129,20,0.44,320.3239241,9.0,0,5.8,23,95,3.82,95,0.1,3935.183343,34376.0,6.0,5.9,0.69,12.3
Algeria,2006,Developing,73.4,132,20,0.36,270.2401962,8.0,944,49.8,23,95,3.36,95,0.1,3464.6179,33777915.0,6.1,6.0,0.686,12.3
Algeria,2005,Developing,72.9,136,19,0.5,2.548922758,83.0,2302,48.9,22,88,3.24,88,0.1,31.122378,33288437.0,6.1,6.0,0.68,12.0
Algeria,2004,Developing,72.3,14,19,0.45,220.393699,81.0,3289,47.9,23,86,3.54,86,0.1,2598.9823,3283196.0,6.2,6.1,0.673,11.7
Algeria,2003,Developing,71.7,146,20,0.34,25.0185226,,15374,47.0,23,87,3.6,87,0.1,294.33556,3243514.0,6.3,6.1,0.663,11.5
Algeria,2002,Developing,71.6,145,20,0.36,148.5119843,,5862,46.1,23,86,3.73,86,0.1,1774.33673,3199546.0,6.3,6.2,0.653,11.1
Algeria,2001,Developing,71.4,145,20,0.23,147.9860714,,2686,45.3,24,89,3.84,89,0.1,1732.857979,31592153.0,6.4,6.3,0.644,10.9
Algeria,2000,Developing,71.3,145,21,0.25,154.4559436,,0,44.4,25,86,3.49,86,0.1,1757.17797,3118366.0,6.5,6.4,0.636,10.7
Angola,2015,Developing,52.4,335,66,,0.0,64.0,118,23.3,98,7,,64,1.9,3695.793748,2785935.0,8.3,8.2,0.531,11.4
Angola,2014,Developing,51.7,348,67,8.33,23.965612,64.0,11699,22.7,101,68,3.31,64,2.0,479.31224,2692466.0,8.5,8.3,0.527,11.4
Angola,2013,Developing,51.1,355,69,8.1,35.95857279,77.0,8523,22.1,105,67,4.26,77,2.3,484.616884,2599834.0,8.6,8.5,0.523,11.4
Angola,2012,Developing,56.0,358,72,8.24,256.1225243,75.0,4458,21.5,110,75,3.3,75,2.6,4598.249988,259615.0,8.8,8.6,0.508,10.3
Angola,2011,Developing,51.0,361,75,8.06,239.8913921,72.0,1449,21.0,115,73,3.38,71,2.5,4299.12889,24218565.0,8.9,8.8,0.495,9.4
Angola,2010,Developing,49.6,365,78,7.8,191.6537407,77.0,1190,2.4,121,81,3.39,77,2.5,3529.53482,23369131.0,9.1,9.0,0.488,9.0
Angola,2009,Developing,49.1,369,81,7.01,212.9229325,61.0,2807,19.8,127,63,4.37,6,2.5,3347.84485,22549547.0,9.3,9.2,0.48,8.5
Angola,2008,Developing,48.7,371,84,7.07,249.9101958,69.0,265,19.3,133,65,3.84,69,2.6,3868.578883,2175942.0,9.5,9.4,0.468,8.1
Angola,2007,Developing,48.2,375,87,6.35,184.8213446,73.0,1014,18.8,138,75,3.38,73,2.6,2878.837144,2997687.0,9.6,9.6,0.454,7.7
Angola,2006,Developing,47.7,381,90,5.84,25.08688824,,765,18.2,143,36,4.54,34,2.5,262.415149,2262399.0,9.8,9.7,0.439,7.2
