iter	Passed	Remaining
0	121	121197
1	126	63076
2	131	43731
3	136	34000
4	141	28216
5	146	24317
6	152	21562
7	157	19475
8	162	17886
9	167	16585
10	172	15512
11	177	14627
12	182	13890
13	188	13256
14	193	12704
15	198	12233
16	204	11803
17	209	11422
18	214	11075
19	220	10782
20	225	10512
21	231	10282
22	236	10053
23	241	9832
24	247	9642
25	252	9455
26	257	9285
27	263	9133
28	268	8983
29	273	8847
30	278	8719
31	284	8592
32	289	8477
33	294	8369
34	299	8264
35	304	8164
36	309	8068
37	315	7982
38	320	7897
39	325	7819
40	330	7738
41	336	7664
42	341	7596
43	346	7530
44	351	7459
45	356	7395
46	361	7335
47	367	7281
48	372	7219
49	377	7168
50	382	7115
51	387	7067
52	392	7020
53	398	6976
54	403	6934
55	408	6892
56	414	6850
57	419	6807
58	424	6767
59	429	6729
60	434	6691
61	439	6654
62	445	6620
63	450	6584
64	455	6550
65	460	6515
66	465	6484
67	470	6453
68	476	6423
69	481	6392
70	486	6361
71	491	6332
72	496	6302
73	501	6278
74	506	6252
75	512	6226
76	517	6200
77	522	6176
78	527	6149
79	532	6126
80	537	6102
81	543	6081
82	548	6056
83	553	6036
84	558	6013
85	563	5991
86	569	5971
87	574	5951
88	579	5928
89	584	5907
90	589	5887
91	594	5868
92	600	5851
93	605	5832
94	610	5814
95	615	5796
96	620	5775
97	625	5758
98	630	5741
99	635	5723
100	641	5707
101	646	5690
102	651	5672
103	656	5654
104	661	5640
105	667	5625
106	672	5609
107	677	5594
108	682	5578
109	687	5562
110	692	5549
111	698	5535
112	703	5519
113	708	5504
114	713	5489
115	718	5477
116	723	5461
117	728	5447
118	733	5433
119	739	5421
120	744	5406
121	749	5393
122	754	5381
123	759	5365
124	764	5352
125	769	5338
126	775	5327
127	780	5313
128	785	5301
129	790	5289
130	795	5277
131	800	5265
132	806	5254
133	811	5241
134	816	5231
135	821	5218
136	826	5207
137	831	5196
138	837	5185
139	842	5173
140	847	5162
141	852	5151
142	857	5141
143	863	5132
144	868	5120
145	873	5109
146	878	5098
147	883	5086
148	888	5076
149	894	5066
150	899	5057
151	904	5047
152	909	5036
153	915	5026
154	920	5016
155	925	5007
156	930	4997
157	935	4987
158	940	4977
159	946	4967
160	951	4957
161	956	4948
162	961	4939
163	966	4928
164	972	4920
165	978	4913
166	983	4905
167	989	4898
168	994	4892
169	1000	4886
170	1006	4880
171	1012	4872
172	1017	4865
173	1023	4856
174	1028	4849
175	1034	4842
176	1040	4835
177	1045	4828
178	1051	4822
179	1057	4816
180	1063	4813
181	1070	4810
182	1076	4806
183	1083	4803
184	1089	4798
185	1095	4792
186	1100	4785
187	1106	4780
188	1112	4774
189	1118	4768
190	1124	4762
191	1130	4756
192	1136	4750
193	1141	4742
194	1147	4735
195	1152	4728
196	1158	4723
197	1164	4717
198	1170	4710
199	1176	4705
200	1181	4696
201	1186	4688
202	1192	4680
203	1197	4673
204	1203	4667
205	1209	4660
206	1214	4653
207	1220	4645
208	1225	4638
209	1231	4631
210	1236	4622
211	1241	4615
212	1247	4608
213	1252	4599
214	1258	4596
215	1264	4591
216	1270	4584
217	1275	4575
218	1281	4568
219	1286	4562
220	1292	4555
221	1297	4548
222	1302	4539
223	1307	4530
224	1313	4523
225	1318	4515
226	1323	4508
227	1329	4500
228	1334	4492
229	1339	4483
230	1344	4475
231	1350	4469
232	1354	4460
233	1360	4452
234	1365	4444
235	1370	4436
236	1375	4428
237	1380	4421
238	1384	4409
239	1390	4403
240	1395	4395
241	1400	4387
242	1406	4381
243	1411	4373
244	1416	4365
245	1421	4357
246	1426	4349
247	1431	4341
248	1436	4333
249	1441	4325
250	1447	4318
251	1452	4311
252	1457	4304
253	1463	4297
254	1468	4290
255	1473	4283
256	1479	4276
257	1484	4270
258	1490	4264
259	1496	4258
260	1501	4252
261	1507	4246
262	1512	4239
263	1518	4232
264	1523	4225
265	1528	4217
266	1533	4209
267	1538	4203
268	1544	4196
269	1549	4188
270	1555	4183
271	1561	4178
272	1566	4172
273	1571	4162
274	1577	4157
275	1582	4150
276	1587	4144
277	1593	4138
278	1598	4131
279	1604	4124
280	1609	4117
281	1614	4110
282	1619	4103
283	1625	4097
284	1630	4090
285	1636	4084
286	1641	4077
287	1646	4070
288	1652	4064
289	1657	4058
290	1662	4051
291	1668	4044
292	1673	4038
293	1679	4032
294	1684	4025
295	1690	4019
296	1695	4013
297	1701	4007
298	1706	4001
299	1711	3994
300	1716	3987
301	1722	3980
302	1727	3973
303	1732	3967
304	1738	3960
305	1743	3954
306	1749	3948
307	1754	3941
308	1759	3935
309	1765	3929
310	1770	3922
311	1776	3916
312	1781	3910
313	1786	3903
314	1792	3897
315	1798	3892
316	1803	3885
317	1809	3880
318	1816	3876
319	1822	3872
320	1828	3866
321	1833	3859
322	1838	3853
323	1843	3845
324	1848	3838
325	1853	3832
326	1858	3825
327	1863	3818
328	1869	3811
329	1873	3804
330	1879	3797
331	1884	3790
332	1889	3784
333	1894	3777
334	1900	3773
335	1906	3767
336	1911	3761
337	1917	3755
338	1922	3748
339	1927	3741
340	1932	3735
341	1937	3728
342	1943	3721
343	1948	3715
344	1953	3709
345	1958	3702
346	1963	3695
347	1969	3689
348	1974	3683
349	1979	3676
350	1985	3670
351	1990	3664
352	1995	3658
353	2001	3651
354	2006	3645
355	2011	3638
356	2016	3632
357	2021	3625
358	2027	3619
359	2032	3613
360	2037	3606
361	2042	3600
362	2047	3593
363	2053	3587
364	2058	3580
365	2063	3574
366	2069	3568
367	2074	3562
368	2079	3555
369	2084	3549
370	2090	3543
371	2095	3537
372	2100	3530
373	2105	3523
374	2110	3517
375	2115	3511
376	2120	3504
377	2126	3498
378	2131	3491
379	2136	3485
380	2141	3478
381	2146	3472
382	2151	3466
383	2156	3459
384	2162	3453
385	2167	3447
386	2172	3441
387	2177	3434
388	2182	3428
389	2188	3423
390	2193	3417
391	2199	3410
392	2204	3404
393	2209	3398
394	2214	3392
395	2220	3386
396	2225	3380
397	2230	3373
398	2235	3367
399	2241	3361
400	2246	3355
401	2251	3348
402	2256	3342
403	2261	3336
404	2266	3330
405	2272	3324
406	2277	3317
407	2282	3311
408	2287	3306
409	2293	3299
410	2298	3293
411	2303	3287
412	2308	3281
413	2313	3274
414	2318	3268
415	2323	3262
416	2329	3256
417	2334	3250
418	2339	3244
419	2344	3237
420	2349	3231
421	2354	3225
422	2359	3219
423	2365	3213
424	2370	3206
425	2375	3200
426	2380	3194
427	2385	3187
428	2390	3181
429	2395	3175
430	2400	3169
431	2405	3163
432	2410	3156
433	2416	3151
434	2421	3145
435	2427	3139
436	2432	3133
437	2437	3127
438	2442	3121
439	2447	3115
440	2452	3109
441	2458	3103
442	2463	3096
443	2468	3090
444	2473	3084
445	2478	3079
446	2484	3073
447	2489	3067
448	2494	3061
449	2499	3055
450	2504	3048
451	2509	3042
452	2514	3036
453	2519	3030
454	2525	3024
455	2530	3018
456	2535	3012
457	2540	3006
458	2545	3000
459	2550	2994
460	2555	2988
461	2561	2982
462	2566	2976
463	2571	2970
464	2576	2964
465	2581	2958
466	2587	2952
467	2592	2946
468	2597	2940
469	2602	2934
470	2607	2928
471	2612	2922
472	2617	2916
473	2623	2910
474	2628	2904
475	2633	2898
476	2638	2892
477	2643	2887
478	2648	2881
479	2654	2875
480	2659	2869
481	2664	2863
482	2669	2857
483	2674	2851
