iter	Passed	Remaining
0	122	122033
1	144	72154
2	163	54407
3	187	46591
4	207	41343
5	228	37784
6	247	35103
7	268	33262
8	284	31373
9	302	29961
10	322	28998
11	346	28544
12	362	27518
13	378	26669
14	399	26263
15	423	26037
16	446	25824
17	469	25638
18	487	25154
19	505	24789
20	527	24596
21	544	24188
22	566	24063
23	582	23676
24	597	23316
25	615	23054
26	637	22959
27	655	22738
28	672	22527
29	699	22611
30	718	22465
31	740	22405
32	772	22647
33	789	22423
34	803	22149
35	824	22078
36	843	21950
37	864	21891
38	883	21767
39	905	21720
40	921	21554
41	944	21554
42	963	21436
43	979	21289
44	1000	21238
45	1020	21157
46	1046	21209
47	1067	21180
48	1084	21048
49	1100	20909
50	1120	20843
51	1137	20728
52	1156	20666
53	1179	20655
54	1193	20511
55	1210	20405
56	1224	20252
57	1238	20116
58	1263	20149
59	1279	20043
60	1296	19951
61	1312	19860
62	1331	19805
63	1349	19733
64	1369	19694
65	1381	19544
66	1402	19528
67	1419	19461
68	1434	19352
69	1447	19237
70	1464	19163
71	1479	19064
72	1493	18960
73	1511	18919
74	1536	18946
75	1550	18846
76	1566	18776
77	1581	18699
78	1603	18693
79	1620	18630
80	1637	18576
81	1650	18481
82	1668	18428
83	1688	18417
84	1708	18390
85	1733	18424
86	1749	18364
87	1766	18302
88	1784	18264
89	1803	18238
90	1819	18177
91	1838	18143
92	1851	18058
93	1871	18039
94	1885	17964
95	1905	17939
96	1923	17909
97	1950	17952
98	1972	17951
99	1987	17887
100	2002	17825
101	2019	17775
102	2038	17751
103	2053	17695
104	2070	17648
105	2088	17616
106	2113	17636
107	2134	17629
108	2157	17635
109	2173	17581
110	2188	17526
111	2207	17504
112	2220	17113	113	2246	17463
114	2261	17115	115	2278	17116	116	2299	17117	117	2326	17386
118	2352	17415
119	2372	17401
120	2391	17373
121	2411	17358
122	2426	17299
123	2441	17124	124	2472	17306
125	2489	17268
126	2507	17127	127	2524	17128	128	2542	17168
129	2567	17184
130	2585	17152
131	2603	17122
132	2621	17091
133	2642	17079
134	2660	17045
135	2679	17023
136	2698	16998
137	2720	16993
138	2739	16971
139	2759	16952
140	2779	16933
141	2799	16917
142	2820	16905
143	2837	16865
144	2858	16856
145	2876	16823
146	2893	16788
147	2911	16762
148	2934	16757
149	2952	16732
150	2966	16677
151	2987	16669
152	3007	16648
153	3018	16579
154	3035	16548
155	3052	16516
156	3066	16466
157	3090	16472
158	3109	16446
159	3128	16425
160	3147	16399
161	3167	16386
162	3190	16380
163	3208	16353
164	3230	16350
165	3249	16327
166	3267	16300
167	3282	16257
168	3300	16227
169	3315	16188
170	3332	16155
171	3350	16130
172	3365	16089
173	3382	16055
174	3399	16026
175	3415	15992
176	3428	15939
177	3442	15895
178	3455	15850
179	3474	15826
180	3487	15779
181	3500	15182	182	3511	15183	3549	15743
184	3569	15727
185	3592	15721
186	3613	15709
187	3633	15694
188	3649	15660
189	3669	15642
190	3678	15581
191	3702	15583
192	3721	15560
193	3732	15506
194	3756	15506
195	3776	15489
196	3790	15448
197	3814	15451
198	3832	15425
199	3850	15400
200	3873	15398
